ID,diet_treatment,egg_day,4th_mass_before ,4th_mass_after,4th_mass_change,4th_food_before,4th_food_after,4th_food_change,4th_food_dry,5th_day,5th_mass_before,5th_mass_after,5th_mass_change,5th_food_before,5th_food_after,5th_food_change,5th_food_dry,photo_day,photo_mass,blocking_day,devo_total,devo_5th,blocking_mass,larval_notes,R_percent,G_percent,B_percent,avg_percent_noB,avg_percent,R_gray,G_gray,B_gray,avg_gray,avg_gray_noB,darkness,darkness_noB,melanin_metric,melanin_metric_noB,photo_notes
101,LOW,1/9/23,206.1,285.4,79.3,2289.3,1944.1,345.2,487.5,2/1/23,,,,,,,,2/6/23,4.2506,2/11/23,33.00,10.00,2.9376,,67.82,67.45,72.90,67.64,69.39,14.84,14.92,13.99,14.58,14.88,20.42,20.12,1416.71,1360.82,
102,LOW,1/9/23,202.3,283.4,81.1,2358.2,2049,309.2,522.4,2/2/23,1026.8,1427.5,400.7,2659.8,1544.7,1115.1,398,2/7/23,3.6524,2/13/23,35.00,11.00,3.1825,,70.28,71.12,75.03,70.70,72.14,13.29,13.28,12.39,12.99,13.29,22.01,21.72,1588.12,1535.25,usesd photo B
103,LOW,1/9/23,142.8,206,63.2,2353.7,2117.7,236,527.6,2/3/23,,,,,,,,2/8/23,3.1488,2/16/23,38.00,13.00,2.9037,,78.41,78.96,82.93,78.69,80.10,11.52,11.63,10.57,11.24,11.58,23.76,23.43,1903.18,1843.20,Usesd photo C
104,LOW,1/9/23,185.8,273.8,88,1886.3,1565.8,320.5,390.7,2/2/23,1154.8,1617.8,463,2758.1,1607,1151.1,413.5,2/7/23,3.9822,2/13/23,35.00,11.00,3.5762,,74.84,75.41,79.12,75.13,76.46,14.72,14.77,13.78,14.42,14.75,20.58,20.26,1573.22,1521.66,Used OG photo
105,LOW,1/9/23,143.5,241.3,97.8,2758.6,2446.2,312.4,617.3,2/3/23,,,,,,,,2/8/23,4.1443,2/13/23,35.00,10.00,3.1415,,66.85,66.31,73.56,66.58,68.91,13.08,13.04,12.38,12.83,13.06,22.17,21.94,1527.43,1460.77,
106,LOW,1/10/23,161.1,229.9,68.8,2208.9,1919.5,289.4,487.3,2/3/23,,,,,,,,2/8/23,3.3042,2/13/23,34.00,10.00,2.6737,,68.26,68.5,75.7,68.38,70.82,13.46,13.44,13.05,13.32,13.45,21.68,21.55,1535.61,1473.59,Used photo C
107,LOW,1/10/23,160.5,230.5,70,2304.8,2029.8,275,506.8,4-Feb,1202.5,1535.5,333,3106.5,2153.6,952.9,520.9,2/9/23,2.8882,2/16/23,37.00,12.00,2.8793,,80.44,80.94,83.61,80.69,81.66,12.3,12.55,11.5,12.12,12.43,22.88,22.58,1868.73,1821.58,Used photo C
108,LOW,1/10/23,139.2,207.9,68.7,2032.4,1741,291.4,436.6,2/3/23,,,,,,,,2/8/23,3.674,2/13/23,34.00,10.00,2.841,,64.54,64.51,73.3,64.53,67.45,15.77,15.73,15.34,15.61,15.75,19.39,19.25,1307.63,1242.11,
109,LOW,1/10/23,164.1,229.7,65.6,1845.2,1581.8,263.4,412.2,2/4/23,1206.9,1625.7,418.8,2741.3,1676.2,1065.1,426.4,2/9/23,3.1409,2/16/23,37.00,12.00,2.6895,,65.25,65.38,74.47,65.32,68.37,11.23,12.79,11.6,11.87,12.01,23.13,22.99,1581.09,1501.59,Use photo C
110,LOW,1/10/23,186,264.2,78.2,2288.1,1965.9,322.2,481.8,2/2/23,1118.5,1601.8,483.3,2541,1261.2,1279.8,323,2/7/23,3.083,2/11/23,32.00,9.00,2.1891,,65.92,66.50,71.09,66.21,67.84,13.71,13.66,12.73,13.37,13.69,21.63,21.32,1467.53,1411.27,
