Larval_ID,Set,Full_Mass,Before_Thorax,After_Thorax,Muscle_Mass,Muscle_per_full_mass,Notes,Consdier excluding?
T105,1,0.7097,0.0846,0.0159,0.0687,0.096801465,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse,Maybe
T111,1,0.7424,0.0957,0.0184,0.0773,0.104121767,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse; cutcle missing,Maybe
T112,1,0.7417,0.0923,0.0183,0.074,0.099770797,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse,Maybe
T118,1,0.5084,0.0923,0.0139,0.0784,0.154209284,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse,Maybe
T119,1,0.4716,0.0721,0.0142,0.0579,0.122773537,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse; cutcle missing,Maybe
T120,1,0.7139,0.0962,0.0198,0.0764,0.10701779,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse,Maybe
T121,1,0.4304,0.0857,0.0153,0.0704,0.163568773,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse,Maybe
T125,1,0.4506,0.0768,0.0138,0.063,0.139813582,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse,Maybe
T129,3,0.8652,0.0977,0.0127,0.085,0.098243181,Cuticle missing,
T131,3,0.5374,0.0975,0.0122,0.0853,0.158727205,,
T133,3,0.4536,0.0813,0.0115,0.0698,0.153880071,,
T134,1,0.6161,0.1033,0.0163,0.087,0.141210842,Drying issue- oven not on for 12 hours; no DI rinse; cutcle missing,
T137,1,0.7494,0.1118,0.0197,0.0921,0.122898319,Drying issue- oven not on for 12 hours; no DI rinse; cutcle missing,
T138,3,0.6123,0.0909,0.0131,0.0778,0.127061898,,
T141,1,0.5019,0.0782,0.0129,0.0653,0.130105599,Drying issue- oven not on for 12 hours; no DI rinse; burned and cuticle missing,
T143,1,0.6708,0.1351,0.0173,0.1178,0.17561121,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse; burned,Maybe
T144,3,0.8723,0.1317,0.0197,0.112,0.128396194,,
T154,3,0.5081,0.061,0.0085,0.0525,0.103326117,Cuticle missing,
T169,4,0.6504,0.0754,0.0098,0.0656,0.100861009,Muscle fell off before KOH- included in before mass,Maybe
T170,4,0.5218,0.0901,0.0124,0.0777,0.148907627,Cuticle missiung,
T171,4,0.3605,0.0651,0.0068,0.0583,0.161719834,,
T172,4,0.5612,0.0962,0.0134,0.0828,0.147540984,,
T173,4,0.5081,0.0778,0.0112,0.0666,0.13107656,,
T209,1,0.5944,0.0948,0.018,0.0768,0.129205922,Drying issue- oven not on for 12 hours; no DI rinse; cutcle missing,
T210,1,0.5467,0.0811,0.0156,0.0655,0.119809768,Drying issue- oven not on for 12 hours; no DI rinse; cutcle missing,
T211,1,0.6142,0.0832,0.0142,0.069,0.112341257,Drying issue- oven not on for 12 hours; no DI rinse; cutcle missing,
T212,1,0.6867,0.0932,0.0162,0.077,0.112130479,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse; burned and cuticle missing; falling apart in KOH,Yes
T213,1,0.8156,0.1149,0.0178,0.0971,0.119053458,Drying issue- oven not on for 12 hours; started to disarticulate before drying- full mass might be too low; no DI rinse; cutcle missing,Maybe
T216,2,0.554,0.0935,0.0144,0.0791,0.142779783,Only one DI rinse before removing,
T220,2,0.6641,0.112,0.018,0.094,0.141544948,Only one DI rinse before removing; burned,
T223,2,0.7764,0.1173,0.0195,0.0978,0.125965997,Only one DI rinse before removing; pieces falling off in KOH,Yes
T225,2,0.4473,0.0839,0.013,0.0709,0.158506595,Only one DI rinse before removing; burned; pieces falling off in KOH,Yes
T229,3,0.4811,0.0815,0.0104,0.0711,0.147786323,Burned;l cuticle missing,
T230,1,0.4542,0.0708,0.0137,0.0571,0.125715544,"Drying issue- oven not on for 12 hours; no DI rinse; burned and cuticle missing, falling apart in KOH",Yes
T231,3,0.5919,0.0831,0.0112,0.0719,0.121473222,,
T237,1,0.497,0.0992,0.0161,0.0831,0.167203219,"Drying issue- oven not on for 12 hours; no DI rinse; burned, falling apart in KOH",Yes
T238,3,0.493,0.0928,0.0116,0.0812,0.164705882,,
T245,3,0.6911,0.0758,0.0093,0.0665,0.096223412,Missing part of thorax?,Yes
T267,4,0.4568,0.0822,0.0123,0.0699,0.153021016,,
T268,4,0.6449,0.1028,0.0162,0.0866,0.134284385,"Burned, pieces falling off in KOH",Yes
T270,4,0.511,0.082,0.0127,0.0693,0.135616438,Burned,
T271,4,0.6145,0.092,0.0127,0.0793,0.129048007,Muscle fell off before KOH- included in before mass,Maybe
T273,4,0.5482,0.0953,0.0141,0.0812,0.148121124,,
T307,2,0.5648,0.0756,0.0101,0.0655,0.115970255,Only one DI rinse before removing,
T313,3,0.5571,0.0808,0.0114,0.0694,0.124573685,Cuticle missing,
T318,3,0.5415,0.0811,0.0113,0.0698,0.1289012,Cuticle missing,
