ID,diet_treatment,photo_mass,devo_total_time,devo_5th_length,blocking_mass,melanin_percent,darkness,Melanin_Metric
101,LOW,4.2506,33.00,10,2.9376,69.39,20.42,1416.7125
102,LOW,3.6524,35.00,11,3.1825,72.14,22.01,1588.115244
103,LOW,3.1488,38.00,13,2.9037,80.10,23.76,1903.176
104,LOW,3.9822,35.00,11,3.5762,76.46,20.58,1573.223344
105,LOW,4.1443,35.00,10,3.1415,68.91,22.17,1527.431111
106,LOW,3.3042,34.00,10,2.6737,68.92,21.68,1494.343056
107,LOW,2.8882,37.00,12,2.8793,81.66,22.88,1868.729278
108,LOW,3.6740,34.00,10,2.841,65.07,19.39,1261.555022
109,LOW,3.1409,37.00,12,2.6895,68.37,23.13,1581.093111
110,LOW,3.0830,32.00,9,2.1891,67.84,21.63,1467.533222
111,LOW,3.1339,35.00,11,2.8231,79.81,19.84,1583.230489
112,LOW,4.3792,36.00,12,2.9088,73.90,22.89,1691.893644
113,LOW,3.3570,34.00,11,2.6532,74.55,20.64,1538.7808
115,LOW,3.1146,33.00,10,2.3552,66.04,20.20,1334.008
116,LOW,2.3450,35.00,12,2.7594,75.92,23.62,1793.483467
117,LOW,3.4229,35.00,12,2.6751,73.64,24.44,1799.925589
118,LOW,2.9858,34.00,11,2.5781,78.21,24.06,1881.9933
119,LOW,3.3545,35.00,11,2.7107,75.66,21.12,1597.8688
120,LOW,3.7693,35.00,11,2.6457,77.03,23.45,1806.431667
121,LOW,3.5979,38.00,12,3.2015,68.01,20.87,1419.142
122,LOW,3.0179,36.00,11,2.5957,64.60,20.28,1310.303333
123,LOW,3.0435,37.00,11,2.5868,75.97,20.54,1560.608556
124,LOW,3.6459,40.00,15,3.2391,81.29,24.97,2029.540333
125,LOW,2.8475,35.00,12,2.8107,80.60,24.19,1949.525956
126,LOW,4.0120,37.00,11,3.3857,60.83,19.36,1177.530556
127,LOW,2.5759,37.00,11,2.5208,68.12,19.41,1322.436267
128,LOW,2.7806,40.00,13,3.2903,71.43,20.74,1481.2201
129,LOW,4.2865,43.00,12,3.2936,84.95,25.53,2168.7735
130,LOW,2.6142,34.00,11,2.2926,81.78,21.61,1767.5384
131,LOW,2.6577,36.00,12,2.8889,68.71,20.54,1411.371867
132,LOW,3.3234,32.00,10,2.583,67.56,20.37,1376.1972
133,LOW,3.3939,33.00,10,2.6122,72.20,21.84,1576.9208
134,LOW,4.0577,34.00,11,3.0959,72.10,21.95,1582.595
136,LOW,3.2183,37.00,12,3.1408,63.11,21.25,1340.947956
137,LOW,2.3564,44.00,14,2.7776,82.91,24.76,2053.127967
138,LOW,3.0566,37.00,13,3.1826,78.19,23.10,1806.112
139a,LOW,2.3521,35.00,12,2.3227,64.79,21.29,1379.234089
139b,LOW,3.3256,38.00,14,3.1705,72.76,20.61,1499.894844
140,LOW,2.4867,41.00,15,2.3552,76.66,23.58,1807.6428
141,LOW,3.1305,,,,78.75,21.89,1724.027022
142,LOW,2.2806,37.00,13,2.2228,71.67,22.11,1584.6237
143,LOW,2.5378,38.00,12,2.5573,74.89,22.17,1660.061667
144,LOW,1.8000,38.00,12,2.1701,54.13,19.24,1041.397067
145,LOW,2.8701,39.00,12,2.9337,71.32,23.58,1681.566456
146,LOW,2.8231,40.00,12,2.5576,63.46,20.60,1307.418856
148,LOW,4.0030,32.00,9,2.857,70.98,23.13,1642.081111
149,LOW,3.7515,32.00,10,2.614,79.55,20.83,1657.0265
150,LOW,2.3755,35.00,13,2.1427,79.86,22.04,1760.3806
151,LOW,2.7747,34.00,11,2.7502,84.55,21.80,1843.544511
152,LOW,2.0908,37.00,14,2.2557,76.53,23.74,1816.901333
153,LOW,2.4497,34.00,11,2.4644,69.83,21.58,1507.092222
154,LOW,1.7847,35.00,11,2.0073,69.44,20.07,1393.362444
155,LOW,2.6542,36.00,13,2.4098,65.09,19.99,1301.215733
156,LOW,4.2150,34.00,10,3.5236,80.14,23.54,1886.4956
157,LOW,3.9087,34.00,11,3.023,75.04,21.39,1605.1769
158,LOW,2.5216,33.00,10,2.1611,69.24,22.47,1555.978689
159,LOW,2.7507,37.00,13,2.5139,83.02,21.24,1763.621533
161,LOW,3.2287,34.00,11,2.5693,76.23,21.61,1647.656444
301,HIGH,2.6619,34,11,2.3314,74.70,23.06,1722.505133
302,HIGH,5.4549,36,12,3.7129,67.57,20.42,1379.847467
303,HIGH,3.2835,38,13,3.3374,80.33,23.04,1851.070967
304,HIGH,2.6051,39,14,3.1005,79.45,20.41,1621.771289
305,HIGH,2.5312,35,11,2.5049,74.81,22.47,1680.9807
307,HIGH,1.4761,,,,87.75,23.23,2038.4325
308,HIGH,2.7939,40,16,2.8294,78.63,23.76,1867.907511
309,HIGH,4.0587,34,11,3.1496,72.11,19.52,1407.522133
310,HIGH,3.4669,34,11,2.6683,69.94,20.78,1453.050811
311,HIGH,2.9860,34,11,2.4065,78.73,21.88,1722.349967
312,HIGH,3.9194,36,12,3.9194,79.15,22.25,1760.823667
313,HIGH,3.7730,34,10,3.773,86.45,24.50,2117.818489
314,HIGH,4.2854,32,10,3.0597,68.14,20.36,1387.035411
315,HIGH,3.4742,36,13,2.843,79.13,19.50,1542.97
316,HIGH,4.0957,36,12,3.4648,74.32,21.61,1606.0552
317,HIGH,3.5060,37,13,3.0544,88.86,23.19,2060.7407
318,HIGH,2.9504,35,12,2.6513,76.10,22.74,1730.691856
319,HIGH,2.7580,36,13,2.3736,72.11,22.80,1643.943622
320,HIGH,2.8597,34,11,2.1857,78.48,22.39,1757.241833
321,HIGH,1.4536,46,18,1.9777,82.85,23.99,1987.5715
322,HIGH,2.9879,40,15,3.012,78.25,20.48,1602.752556
323,HIGH,3.4420,37,13,2.7681,74.80,21.22,1587.185267
324,HIGH,2.5950,38,12,2.6214,75.14,23.42,1760.107344
325,HIGH,3.4289,36,12,3.0085,63.90,20.93,1337.570222
326,HIGH,1.9091,39,15,2.5749,84.67,23.57,1995.311111
327,HIGH,2.8584,38,12,2.4495,85.09,23.16,1970.6072
328,HIGH,1.7938,45,16,2.2825,77.51,22.14,1716.329767
329,HIGH,2.5806,37,13,2.6967,71.96,19.87,1429.605333
330,HIGH,2.5940,,,,69.26,18.58,1286.912733
331,HIGH,3.2817,35,12,3.2817,78.24,21.50,1682.231667
