ID,diet_treatment,fourth_mass_change,fourth_food_change,fifth_mass_change,fifth_food_change
101,LOW,79.3,345.2,,
102,LOW,81.1,309.2,400.7,1115.1
103,LOW,63.2,236,,
104,LOW,88,320.5,463,1151.1
105,LOW,97.8,312.4,,
106,LOW,68.8,289.4,,
107,LOW,70,275,333,952.9
108,LOW,68.7,291.4,,
109,LOW,65.6,263.4,418.8,1065.1
110,LOW,78.2,322.2,483.3,1279.8
111,LOW,84.4,328.3,485.1,1458.1
112,LOW,105.6,344.8,,
113,LOW,83.1,339.2,,
114,LOW,7.4,121.4,,
115,LOW,102.5,414.5,,
119,LOW,,,523.2,1234.9
120,LOW,,,392.6,1124.2
130,LOW,,,284.7,827.4
133,LOW,,,461,1454.4
134,LOW,,,609,1582.3
148,LOW,,,545.2,1604.2
149,LOW,,,595.9,1624.8
154,LOW,,,244.7,737
156,LOW,,,664.5,1690.8
201,MEDIUM,65.6,232.7,,
202,MEDIUM,65.4,288.7,353.8,1018.2
203,MEDIUM,,,184.2,636.9
204,MEDIUM,40.8,171.6,230,644.2
205,MEDIUM,47.5,171.6,171.4,638.3
206,MEDIUM,42.3,212.6,293.2,825.2
207,MEDIUM,27.2,133.5,,
208,MEDIUM,43.8,182.2,231.8,654.9
209,MEDIUM,48,217.6,,
210,MEDIUM,78.4,248.7,229,844.4
211,MEDIUM,103.9,356.4,445.4,1266
212,MEDIUM,78.8,322.1,,
213,MEDIUM,85.6,286.1,,
214,MEDIUM,69.3,266.3,350.5,914.1
215,MEDIUM,56.6,302.5,,
217,MEDIUM,,,287.5,655.8
219,MEDIUM,,,268.7,732.6
221,MEDIUM,,,218.1,571.3
236,MEDIUM,,,310,817.1
251,MEDIUM,,,175.8,494.6
252,MEDIUM,,,248.4,867
301,HIGH,93.1,314.3,,
302,HIGH,100.9,342.9,781.9,1809.1
303,HIGH,99.4,322.1,,
304,HIGH,48.2,167.1,,
305,HIGH,55.5,233.9,327.2,1054
306,HIGH,67,259.6,,
307,HIGH,75.7,252.4,,
308,HIGH,90.4,326.4,,
309,HIGH,116.4,431.6,680.4,1972.9
310,HIGH,106.1,406,569.3,1533.5
311,HIGH,69.8,315.8,,
312,HIGH,82.3,391.8,575,1506.9
313,HIGH,87.6,330,562.4,1514.2
314,HIGH,160.1,554.8,692,1850.7
315,HIGH,106.2,336.6,,
316,HIGH,,,606.7,1540.2
317,HIGH,,,469.3,1374.9
324,HIGH,,,327.4,
331,HIGH,,,330.6,1233.4
334,HIGH,,,746.7,1823.8
337,HIGH,,,483.7,1353.2
339,HIGH,,,497.3,1234
343,HIGH,,,337,892.8
401,LOW-2,51.9,201.6,360.4,780.5
402,LOW-2,40.4,169.1,,
403,LOW-2,61,252,,
404,LOW-2,43.3,190.1,182.8,542.3
405,LOW-2,53.7,189.5,223.6,630.5
406,LOW-2,95.2,295.8,,
407,LOW-2,56.7,268.6,347.5,1088.1
408,LOW-2,67.3,256.4,,
409,LOW-2,55.3,188.4,232.7,836.8
410,LOW-2,52.8,227.7,,
411,LOW-2,77,329.5,,
412,LOW-2,39.1,208.2,231.1,650.9
413,LOW-2,63.8,217.6,,
414,LOW-2,86.2,291.3,380.9,1112.5
415,LOW-2,51.6,278.4,325.9,832.2
418,LOW-2,,,232.7,782.5
419,LOW-2,,,284,819.2
427,LOW-2,,,276.6,699.1
431,LOW-2,,,257.8,674.2
432,LOW-2,,,418.2,1039
442,LOW-2,,,267.8,652.4
444,LOW-2,,,248,674.4
501,HIGH-2,55.3,224.2,276.9,889
502,HIGH-2,54.9,234.2,348.1,954.9
503,HIGH-2,62.3,221.4,279.6,901.1
504,HIGH-2,61,214.7,333.2,900.1
505,HIGH-2,59,230.6,280.2,888.7
506,HIGH-2,98.3,351.6,,
507,HIGH-2,46.1,240,,
508,HIGH-2,79.1,293.3,,
509,HIGH-2,111.4,387.4,,
510,HIGH-2,68.1,318.4,,
511,HIGH-2,77.2,252.4,,
512,HIGH-2,90.6,274.5,459.2,1091
513,HIGH-2,64.9,195.9,,
514,HIGH-2,26.3,126.8,,
515,HIGH-2,67.7,263.8,,
516,HIGH-2,,,99.8,360.2
521,HIGH-2,,,517.2,1092.9
522,HIGH-2,,,266.2,679.8
528,HIGH-2,,,338.4,949.4
531,HIGH-2,,,350.4,1047.9
533,HIGH-2,,,293.2,842.9
537,HIGH-2,,,262.1,849.4
540,HIGH-2,,,229.4,704.1
547,HIGH-2,,,204,670.5
