Larval_ID,Mass,Start_Date,Food_Before,Food_After,Food_Change,Consumption_per_mass,Extraction_Date,Reading1,Reading2,Reading3,Avg_Reading,Conversion_ug/ml,Total_Melanin,Wire_Length,Concentration,Notes
T101,3.8906,5/27/23,,,,,8/21/23,0.4180,0.4312,0.3814,0.4102,98.9994,11.8799,0.296,40.13489838,Not enough initial food
T102,4.0911,5/27/23,,,,,8/20/23,0.2663,0.2649,0.2418,0.2577,59.7099,7.1652,0.253,28.3208917,Not enough initial food
T103,4.5278,5/27/23,,,,,8/21/23,0.1787,0.1929,0.1727,0.1814,40.0737,4.8088,0.228,21.09142,Not enough initial food
T104,3.6911,5/27/23,,,,,,,,,,,,,,"Not enough initial food, sample lost in water bath"
T106,4.2297,5/28/23,4.2417,1.4592,2.7825,0.657848074,8/15/23,0.4279,0.4774,0.4235,0.4429,107.4309,12.8917,0.358,36.01034682,
T107,5.2291,5/28/23,,,,,8/24/23,0.2655,0.2637,0.2383,0.2558,59.2377,7.1085,0.404,17.59534158,Not enough initial food
T108,3.2262,5/28/23,4.2238,1.987,2.2368,0.693323415,8/25/23,0.9343,1.0469,1.2002,1.0605,266.4951,31.9794,0.308,103.8292613,
T109,4.8281,5/28/23,,,,,8/25/23,0.2273,0.2321,0.2209,0.2268,51.7507,6.2101,0.35,17.74308274,Not enough initial food
T113,3.1232,5/29/23,6.1343,3.3392,2.7951,0.89494749,8/24/23,0.7644,0.7787,0.7865,0.7765,193.3596,23.2031,0.276,84.06937217,
T114,4.1927,5/29/23,5.6255,3.3529,2.2726,0.542037351,8/15/23,0.1958,0.1935,0.1747,0.1880,41.7651,5.0118,0.316,15.86017975,
T115,4.5116,5/29/23,6.2711,0.943,5.3281,1.180977924,8/21/23,0.5026,0.5310,0.4623,0.4986,121.7781,14.6134,0.312,46.83772077,
T116,4.2079,5/28/23,,,,,8/25/23,0.2226,0.2142,0.2005,0.2124,48.0587,5.7670,0.327,17.63621211,Not enough initial food
T117,3.7912,5/29/23,5.402,1.9148,3.4872,0.919814307,8/14/23,0.1581,0.1585,0.1523,0.1563,33.5999,4.0320,0.295,13.66773722,
T122,4.739,5/29/23,5.9897,2.6391,3.3506,0.707026799,8/18/23,0.1646,0.1835,0.1665,0.1715,37.5237,4.5028,0.29,15.52703007,
T123,4.5163,5/29/23,5.0658,1.3839,3.6819,0.815246994,8/16/23,0.1285,0.1206,0.1234,0.1242,25.3230,3.0388,0.156,19.47919231,
T124,4.9563,5/29/23,5.353,0.5907,4.7623,0.960857898,8/20/23,0.1811,0.1729,0.1653,0.1731,37.9272,4.5513,0.333,13.66745874,
T126,4.5527,5/29/23,5.135,1.4689,3.6661,0.805258418,8/20/23,0.1344,0.1354,0.1377,0.1358,28.3281,3.3994,0.257,13.22710506,
T127,3.962,5/29/23,5.2824,1.934,3.3484,0.845128723,8/21/23,0.1995,0.2018,0.1849,0.1954,43.6712,5.2405,0.264,19.85056,
T128,5.1383,5/29/23,6.1879,1.1397,5.0482,0.982465018,,,,,,,,,,Sample lost in water bath
T130,4.1508,5/29/23,5.2454,1.0369,4.2085,1.013900935,8/25/23,0.1808,0.2028,0.1980,0.1939,43.2763,5.1932,0.307,16.91580821,
T132,4.7058,5/30/23,5.6821,0.1615,5.5206,1.17314803,8/21/23,0.4766,0.4612,0.4120,0.4499,109.2339,13.1081,0.302,43.4042098,20 min late! Exclude?
T135,3.3576,5/30/23,4.7534,1.0401,3.7133,1.105938766,8/25/23,0.1338,0.1313,0.1321,0.1324,27.4437,3.2932,0.242,13.60844231,20 min late! Exclude?
T136,4.8606,5/30/23,,,,,8/24/23,0.2079,0.2089,0.1868,0.2012,45.1652,5.4198,0.27,20.07342044,20 min late! Exclude? Not enough initial food
T139,4.8158,5/29/23,,,,,8/18/23,0.1201,0.1244,0.1248,0.1231,25.0482,3.0058,0.334,8.999352575,Not enough initial food
