Larval_ID,Sex,Family,Full_Treatment,Photo_Treatment,Diet_Treatment,5th_Day,Photo_Day,Blocking_Day,Devo_Time,Eclosion_Date,Devo_Time2,Gray_Value_R,Gray_Value_G,Gray_Value_B,Avg_Gray,Avg_Gray_2,Darkness,Percent_R,Percent_G,Percent_B,Avg_Percent,Avg_Percent_Melanin,Total_Melanin_Metric,Notes
T101,,27,LongPhotoLowTyr,Long,Low,5/24/23,5/27/23,,,,,17.916,17.378,17.091,17.462,17.647,11.353,3.561,3.551,5.358,4.157,3.556,47.191,
T102,,27,LongPhotoLowTyr,Long,Low,5/24/23,5/27/23,,,,,15.017,15.146,16.552,15.572,15.082,13.919,6.740,6.926,10.561,8.076,6.833,112.401,
T103,,27,LongPhotoLowTyr,Long,Low,5/24/23,5/27/23,,,,,15.430,14.809,18.364,16.201,15.120,13.881,5.106,5.053,9.902,6.687,5.080,92.819,
T104,,27,LongPhotoLowTyr,Long,Low,5/24/23,5/27/23,,,,,13.885,13.737,15.783,14.468,13.811,15.189,11.422,11.402,17.513,13.446,11.412,204.226,
T105,F,27,LongPhotoLowTyr,Long,Low,5/24/23,5/27/23,6/1/23,8,6/23/23,22,17.598,17.072,18.380,17.683,17.335,11.665,2.269,2.314,4.477,3.020,2.292,35.228,
T106,,27,LongPhotoLowTyr,Long,Low,5/25/23,5/28/23,,,,,16.972,16.586,18.926,17.495,16.779,12.221,4.470,4.290,7.949,5.570,4.380,68.067,
T107,,27,LongPhotoLowTyr,Long,Low,5/25/23,5/28/23,,,,,14.860,14.625,17.278,15.588,14.743,14.258,5.573,5.355,9.036,6.655,5.464,94.879,
T108,,25,LongPhotoLowTyr,Long,Low,5/25/23,5/28/23,,,,,13.620,13.525,15.053,14.066,13.573,15.428,11.567,11.407,16.616,13.197,11.487,203.592,
T109,,24,LongPhotoLowTyr,Long,Low,5/25/23,5/28/23,,,,,11.184,11.235,15.631,12.683,11.210,17.791,10.403,10.347,17.670,12.807,10.375,227.837,
T110,M,27,LongPhotoLowTyr,Long,Low,5/25/23,5/28/23,6/1/23,7,6/23/23,22,16.123,15.825,18.405,16.784,15.974,13.026,4.622,4.685,8.844,6.050,4.654,78.812,
T111,F,27,LongPhotoLowTyr,Long,Low,5/25/23,5/28/23,6/2/23,8,6/23/23,21,15.195,14.457,19.310,16.321,14.826,14.174,6.000,5.753,12.733,8.162,5.877,115.688,
T112,F,27,LongPhotoLowTyr,Long,Low,5/25/23,5/28/23,6/2/23,8,6/25/23,23,16.832,15.410,20.338,17.527,16.121,12.879,7.526,6.746,17.779,10.684,7.136,137.595,
T113,,33,LongPhotoLowTyr,Long,Low,5/26/23,5/29/23,,,,,18.240,17.490,21.550,19.093,17.865,11.135,4.059,4.057,11.463,6.526,4.058,72.671,
T114,,33,LongPhotoLowTyr,Long,Low,5/26/23,5/29/23,,,,,15.841,15.370,19.604,16.938,15.606,13.395,5.248,5.403,12.970,7.874,5.326,105.464,
T115,,25,LongPhotoLowTyr,Long,Low,5/26/23,5/29/23,,,,,12.087,12.086,14.282,12.818,12.087,16.914,21.834,22.124,32.509,25.489,21.979,431.108,
T116,,25,LongPhotoLowTyr,Long,Low,5/26/23,5/28/23,,,,,13.247,13.107,15.317,13.890,13.177,15.823,7.971,7.975,12.075,9.340,7.973,147.792,
T117,,25,LongPhotoLowTyr,Long,Low,5/26/23,5/29/23,,,,,13.065,12.920,14.761,13.582,12.993,16.008,10.614,10.784,15.741,12.380,10.699,198.168,
T118,M,25,LongPhotoLowTyr,Long,Low,5/26/23,5/29/23,6/2/23,7,6/25/23,23,11.955,11.845,13.982,12.594,11.900,17.100,12.124,12.275,18.217,14.205,12.200,242.911,pupa short wings
T119,M,25,LongPhotoLowTyr,Long,Low,5/26/23,5/29/23,6/2/23,7,6/23/23,21,15.294,14.929,16.103,15.442,15.112,13.889,7.716,7.592,11.564,8.957,7.654,124.404,pupa short wings
T120,F,25,LongPhotoLowTyr,Long,Low,5/26/23,5/29/23,6/2/23,7,6/25/23,23,13.652,13.194,15.191,14.012,13.423,15.577,11.252,10.984,15.901,12.712,11.118,198.020,
T121,M,25,LongPhotoLowTyr,Long,Low,5/26/23,5/29/23,6/1/23,6,6/25/23,24,12.788,12.587,16.437,13.937,12.688,16.313,12.270,12.313,22.075,15.553,12.292,253.703,pupa short wings
