Larval_ID,fore_gray_R,fore_gray_G,fore_gray_B,fore_gray,fore_darkness,hind_gray_R,hind_gray_G,hind_gray_B,hind_gray,hind_darkness,hind_percent_R,hind_percent_B,hind_percent_G,hind_percent,notes,exposure
T119,57.53,51.929,43.815,51.09133333,203.9086667,11.336,11.592,11.319,11.41566667,7.584333333,18.393,20.46,23.249,20.70066667,,
T330,51.608,45.647,37.401,44.88533333,210.1146667,14.501,13.791,12.437,13.57633333,5.423666667,16.751,20.174,24.164,20.363,R FW only,
T349,47.385,42.375,42.375,44.045,210.955,8.49,9.161,9.333,8.994666667,10.00533333,27.272,29.136,31.31,29.23933333,,
T125,50.045,44.392,36.654,43.697,211.303,13.725,13.8,13.077,13.534,5.466,11.189,15.108,20.326,15.541,"L FW only, R HW only",
T110,51.069,44.016,35.461,43.51533333,211.4846667,15.755,15.136,13.974,14.955,4.045,6.004,9.267,13.434,,wings are very light-  maybe leave out HW part??,
T143,47.448,43.821,37.364,42.87766667,212.1223333,7.242,8.688,9.326,8.418666667,10.58133333,23.43,24.962,26.776,25.056,,
T342,49.151,43.629,35.722,42.834,212.166,11.12,10.911,9.9,10.64366667,8.356333333,19.298,21.175,23.43,21.301,area on R HW only,
T319,48.326,43.588,36.101,42.67166667,212.3283333,7.916,7.516,6.174,7.202,11.798,34.002,38.38,41.435,37.939,area on R HW only,
T378,48.958,43.282,35.352,42.53066667,212.4693333,12.236,11.74,10.454,11.47666667,7.523333333,15.236,17.276,20.098,17.53666667,area on L HW only b/c right is folded,
T131,47.676,42.704,35.978,42.11933333,212.8806667,8.652,9.375,9.607,9.211333333,9.788666667,21.023,22.562,24.341,22.642,,
T364,47.781,42.639,35.247,41.889,213.111,10.202,10.058,9.44,9.9,9.1,23.344,26.457,30.19,26.66366667,,
T428,44.995,40.441,34.295,39.91033333,215.0896667,9.285,9.59,9.418,9.431,9.569,33.149,36.898,41.426,37.15766667,right wings only,90 overexposed in R
T155,40.392,39.769,37.727,39.296,215.704,4.323,6.094,9.674,6.697,12.303,28.602,27.294,24.952,26.94933333,,
T435,44.802,39.718,32.438,38.986,216.014,6.948,7.442,7.153,7.181,11.819,32.734,35.775,39.59,36.033,area on R HW only,gah both still overxposed! But looks a bit better
T312,44.803,39.626,32.378,38.93566667,216.0643333,8.183,8.482,8.34,8.335,10.665,25.28,27.585,29.977,27.614,,
T470,44.127,39.042,32.063,38.41066667,216.5893333,8.758,9.101,8.545,8.801333333,10.19866667,34.937,38.072,41.532,38.18033333,R FW only,
T471,39.489,34.697,28.006,38.41066667,216.5893333,11.032,10.688,9.712,10.47733333,8.522666667,28.126,31.72,36.021,31.95566667,,
T154,43.091,38.724,32.358,38.05766667,216.9423333,7.253,8.496,8.901,8.216666667,10.78333333,25.821,27.262,29.204,27.429,,
T337,42.766,38.362,31.924,37.684,217.316,6.084,7.389,7.804,7.092333333,11.90766667,26.899,28.561,30.238,28.566,,
T346,41.648,38.047,32.213,37.30266667,217.6973333,,,,,,,,,,only had R FR,
T357,42.529,37.864,31.278,37.22366667,217.7763333,9.37,9.78,9.565,9.571666667,9.428333333,28.22,30.9,34.502,31.20733333,,"gah! R still overesposed in R, but I think it is better"
T325,40.333,37.738,33.514,37.195,217.805,6.877,8.579,10.222,8.559333333,10.44066667,21.963,22.738,23.172,22.62433333,,
T404,42.367,37.744,31.251,37.12066667,217.8793333,11.139,11.338,10.928,11.135,7.865,25.835,28.572,31.901,28.76933333,,90 overexposed in R
T213,42.399,37.545,30.779,36.90766667,218.0923333,6.537,7.636,8.007,7.393333333,11.60666667,31.112,34.554,37.356,34.34066667,,
T473,41.189,37.376,32.077,36.88066667,218.1193333,9.23,10.07,10.435,9.911666667,9.088333333,32.478,37.171,41.9,37.183,"L FW only, R HW only",90 overexposesd in R
T448,42.571,37.399,30.296,36.75533333,218.2446667,9.172,9.835,10.16,9.722333333,9.277666667,28.415,32.364,37.383,32.72066667,,90 overexposed in R
T138,41.849,37.586,30.798,36.74433333,218.2556667,7.277,8.15,8.313,7.913333333,11.08666667,26.206,27.921,29.935,28.02066667,left hindwing only,
T246,41.255,37.361,31.542,36.71933333,218.2806667,4.453,5.872,6.911,5.745333333,13.25466667,37.646,40.342,41.99,39.99266667,,
T339,42.616,37.113,29.552,36.427,218.573,11.971,11.837,11.017,11.60833333,7.391666667,20.3,22.962,27.33,23.53066667,R FW only,
T318,42.252,37.051,29.924,36.409,218.591,8.294,8.915,8.712,8.640333333,10.35966667,29.341,31.654,34.633,31.876,,90 overexposed in R
T171,39.434,36.793,32.455,36.22733333,218.7726667,4.159,5.94,8.096,6.065,12.935,37.884,40.701,41.636,40.07366667,,
T348,42.056,36.721,29.721,36.166,218.834,10.132,10.104,9.26,9.832,9.168,23.374,25.825,29.296,26.165,,
T306,40.9,36.616,30.577,36.031,218.969,9.274,10.007,10.157,9.812666667,9.187333333,24.813,26.597,28.507,26.639,,
T137,40.514,36.708,30.733,35.985,219.015,9.005,10.23,10.834,10.023,8.977,,,,,wing folded- did not calculate area; right hindwing only,
